GAME_ID,GAME_DATE,SEASON,MATCHUP,WL
0022000003,12/23/2020,2020,MIL @ BOS,L
0022000006,12/25/2020,2020,MIL vs. GSW,W
0022000036,12/27/2020,2020,MIL @ NYK,L
0022000051,12/29/2020,2020,MIL @ MIA,W
0022000058,12/30/2020,2020,MIL @ MIA,L
0022000073,01/01/2021,2020,MIL vs. CHI,W
0022000099,01/04/2021,2020,MIL vs. DET,W
0022000113,01/06/2021,2020,MIL vs. DET,W
0022000129,01/08/2021,2020,MIL vs. UTA,L
0022000137,01/09/2021,2020,MIL vs. CLE,W
0022000151,01/11/2021,2020,MIL @ ORL,W
0022000165,01/13/2021,2020,MIL @ DET,W
0022000182,01/15/2021,2020,MIL vs. DAL,W
0022000209,01/18/2021,2020,MIL @ BKN,L
0022000226,01/21/2021,2020,MIL vs. LAL,L
0022000254,01/24/2021,2020,MIL vs. ATL,W
0022000277,01/27/2021,2020,MIL @ TOR,W
0022000293,01/29/2021,2020,MIL @ NOP,L
0022000299,01/30/2021,2020,MIL @ CHA,L
0022000316,02/01/2021,2020,MIL vs. POR,W
