PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS-MINUS
Khris Middleton,MIL,12/23/2020,MIL @ BOS,L,38,27,10,20,3,8,4,4,2,12,14,8,0,0,2,2,7
Giannis Antetokounmpo,MIL,12/23/2020,MIL @ BOS,L,36,35,13,26,3,8,6,8,2,11,13,2,0,2,7,5,-1
Brook Lopez,MIL,12/23/2020,MIL @ BOS,L,29,7,3,4,1,2,0,0,2,1,3,0,0,2,0,3,22
Donte DiVincenzo,MIL,12/23/2020,MIL @ BOS,L,27,15,6,11,3,4,0,0,2,3,5,3,2,0,1,3,4
Jrue Holiday,MIL,12/23/2020,MIL @ BOS,L,38,25,10,16,1,4,4,4,2,4,6,3,2,1,3,3,-5
Bobby Portis,MIL,12/23/2020,MIL @ BOS,L,16,3,1,3,0,0,1,2,1,3,4,1,0,0,1,0,-16
Pat Connaughton,MIL,12/23/2020,MIL @ BOS,L,23,6,2,3,2,3,0,0,0,1,1,1,0,0,1,1,-14
D.J. Wilson,MIL,12/23/2020,MIL @ BOS,L,13,0,0,2,0,2,0,0,0,5,5,1,0,1,1,2,-6
Bryn Forbes,MIL,12/23/2020,MIL @ BOS,L,14,3,1,5,1,4,0,0,0,1,1,0,0,0,0,1,4
Sam Merrill,MIL,12/23/2020,MIL @ BOS,L,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khris Middleton,MIL,12/25/2020,MIL vs. GSW,W,26,31,10,15,6,8,5,5,0,4,4,5,2,0,2,2,21
Giannis Antetokounmpo,MIL,12/25/2020,MIL vs. GSW,W,27,15,4,14,0,3,7,15,4,9,13,4,0,0,2,2,26
Brook Lopez,MIL,12/25/2020,MIL vs. GSW,W,20,8,3,6,0,1,2,2,2,2,4,0,0,1,2,1,14
Donte DiVincenzo,MIL,12/25/2020,MIL vs. GSW,W,20,13,5,8,3,5,0,0,1,3,4,0,2,0,2,1,5
Jrue Holiday,MIL,12/25/2020,MIL vs. GSW,W,25,12,6,8,0,1,0,0,1,3,4,6,0,1,3,1,23
Bobby Portis,MIL,12/25/2020,MIL vs. GSW,W,26,10,5,9,0,3,0,0,1,11,12,2,1,1,1,1,20
Pat Connaughton,MIL,12/25/2020,MIL vs. GSW,W,19,2,1,3,0,1,0,0,0,7,7,2,0,0,0,0,27
D.J. Wilson,MIL,12/25/2020,MIL vs. GSW,W,14,9,3,4,3,3,0,0,0,4,4,0,0,1,1,2,12
Bryn Forbes,MIL,12/25/2020,MIL vs. GSW,W,13,8,3,5,2,3,0,0,0,0,0,0,0,0,0,1,13
D.J. Augustin,MIL,12/25/2020,MIL vs. GSW,W,13,13,4,6,3,3,2,2,0,0,0,1,0,0,0,1,10
Torrey Craig,MIL,12/25/2020,MIL vs. GSW,W,10,0,0,1,0,0,0,0,0,4,4,0,0,0,1,2,6
Thanasis Antetokounmpo,MIL,12/25/2020,MIL vs. GSW,W,10,4,2,2,0,0,0,0,0,0,0,1,0,0,1,1,6
Jordan Nwora,MIL,12/25/2020,MIL vs. GSW,W,10,7,2,6,1,3,2,2,0,1,1,0,0,0,1,2,6
Sam Merrill,MIL,12/25/2020,MIL vs. GSW,W,8,6,2,3,2,2,0,0,2,1,3,4,1,0,1,0,6
Giannis Antetokounmpo,MIL,12/27/2020,MIL @ NYK,L,32,27,9,15,1,5,8,13,2,11,13,5,3,0,3,3,-13
Khris Middleton,MIL,12/27/2020,MIL @ NYK,L,33,22,8,18,1,6,5,5,1,3,4,5,0,0,0,1,-23
Brook Lopez,MIL,12/27/2020,MIL @ NYK,L,21,6,2,7,0,4,2,2,2,0,2,0,1,2,0,3,-25
Donte DiVincenzo,MIL,12/27/2020,MIL @ NYK,L,24,10,4,7,2,4,0,1,0,2,2,1,0,0,1,0,-11
Jrue Holiday,MIL,12/27/2020,MIL @ NYK,L,28,8,4,10,0,4,0,0,2,2,4,5,2,0,3,0,-9
Bobby Portis,MIL,12/27/2020,MIL @ NYK,L,26,17,7,12,1,2,2,2,5,2,7,2,1,1,1,5,6
