PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS-MINUS
Malik Beasley,MIN,12/23/2020,MIN vs. DET,W,27,23,10,18,3,9,0,0,1,3,4,2,1,0,1,3,12
Jake Layman,MIN,12/23/2020,MIN vs. DET,W,17,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,-15
Anthony Edwards,MIN,12/23/2020,MIN vs. DET,W,25,15,5,12,1,5,4,4,2,2,4,4,0,0,1,1,4
Ricky Rubio,MIN,12/23/2020,MIN vs. DET,W,25,3,1,4,0,1,1,2,0,1,1,3,2,0,1,3,17
Josh Okogie,MIN,12/23/2020,MIN vs. DET,W,33,12,4,9,1,4,3,3,1,3,4,2,0,0,2,3,17
Jarrett Culver,MIN,12/23/2020,MIN vs. DET,W,21,10,3,6,0,1,4,5,2,8,10,2,0,0,0,0,7
Karl-Anthony Towns,MIN,12/23/2020,MIN vs. DET,W,30,22,6,10,2,4,8,8,3,8,11,7,1,2,4,4,11
Naz Reid,MIN,12/23/2020,MIN vs. DET,W,18,8,2,5,0,1,4,6,2,3,5,1,0,3,0,0,-1
D'Angelo Russell,MIN,12/23/2020,MIN vs. DET,W,33,18,7,16,4,11,0,0,1,4,5,4,1,0,2,2,5
Juancho Hernangomez,MIN,12/23/2020,MIN vs. DET,W,12,0,0,5,0,4,0,0,0,3,3,0,1,0,0,0,-7
Anthony Edwards,MIN,12/26/2020,MIN @ UTA,W,22,18,8,12,2,3,0,0,0,1,1,1,2,0,0,4,6
Ricky Rubio,MIN,12/26/2020,MIN @ UTA,W,27,9,3,8,1,3,2,2,0,4,4,6,1,0,1,4,6
Jake Layman,MIN,12/26/2020,MIN @ UTA,W,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
Ed Davis,MIN,12/26/2020,MIN @ UTA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Naz Reid,MIN,12/26/2020,MIN @ UTA,W,18,8,3,8,2,4,0,0,0,2,2,2,1,0,1,1,-9
Josh Okogie,MIN,12/26/2020,MIN @ UTA,W,32,8,4,8,0,1,0,0,3,3,6,2,0,1,1,3,-4
D'Angelo Russell,MIN,12/26/2020,MIN @ UTA,W,34,25,9,21,3,6,4,8,0,2,2,6,1,0,2,4,-9
Juancho Hernangomez,MIN,12/26/2020,MIN @ UTA,W,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,-1
Karl-Anthony Towns,MIN,12/26/2020,MIN @ UTA,W,30,16,6,19,1,5,3,3,3,9,12,3,1,4,2,3,11
Malik Beasley,MIN,12/26/2020,MIN @ UTA,W,39,18,7,17,1,4,3,3,2,4,6,0,1,0,2,3,13
Jarrett Culver,MIN,12/26/2020,MIN @ UTA,W,20,14,5,7,3,3,1,2,3,3,6,0,1,0,0,3,9
Malik Beasley,MIN,12/27/2020,MIN @ LAL,L,24,8,3,9,0,3,2,3,0,5,5,2,1,0,0,0,-19
D'Angelo Russell,MIN,12/27/2020,MIN @ LAL,L,21,4,2,7,0,1,0,0,0,0,0,3,1,1,7,4,-31
Jordan McLaughlin,MIN,12/27/2020,MIN @ LAL,L,16,4,2,5,0,2,0,0,0,3,3,1,0,0,0,0,-6
Jarred Vanderbilt,MIN,12/27/2020,MIN @ LAL,L,15,2,0,3,0,0,2,4,2,5,7,6,3,1,1,0,1
Josh Okogie,MIN,12/27/2020,MIN @ LAL,L,11,4,2,4,0,1,0,0,0,0,0,1,0,0,0,0,-16
Jake Layman,MIN,12/27/2020,MIN @ LAL,L,15,10,4,8,0,1,2,2,0,3,3,0,0,0,0,1,-17
Anthony Edwards,MIN,12/27/2020,MIN @ LAL,L,29,15,6,21,1,9,2,2,2,2,4,2,1,0,1,2,-14
Juancho Hernangomez,MIN,12/27/2020,MIN @ LAL,L,13,6,2,6,1,3,1,3,2,3,5,0,0,1,0,1,-15
Ed Davis,MIN,12/27/2020,MIN @ LAL,L,13,4,2,5,0,0,0,0,7,0,7,1,0,1,2,4,-15
Jaden McDaniels,MIN,12/27/2020,MIN @ LAL,L,8,6,2,3,2,3,0,0,0,1,1,0,2,1,0,2,0
Ricky Rubio,MIN,12/27/2020,MIN @ LAL,L,18,9,4,8,1,4,0,0,1,3,4,4,0,0,0,1,-9
Jarrett Culver,MIN,12/27/2020,MIN @ LAL,L,29,8,4,11,0,4,0,0,2,2,4,0,1,1,5,4,-18
Naz Reid,MIN,12/27/2020,MIN @ LAL,L,28,11,5,13,1,4,0,0,1,4,5,4,2,0,1,5,-21
Jake Layman,MIN,12/29/2020,MIN @ LAC,L,13,4,2,4,0,1,0,0,0,1,1,1,1,2,0,3,-7
D'Angelo Russell,MIN,12/29/2020,MIN @ LAC,L,31,22,9,19,4,11,0,0,1,2,3,4,2,0,3,2,-26
Jarred Vanderbilt,MIN,12/29/2020,MIN @ LAC,L,16,9,4,5,0,0,1,2,3,3,6,1,1,1,0,0,0
Naz Reid,MIN,12/29/2020,MIN @ LAC,L,20,11,4,6,1,1,2,2,2,1,3,1,0,0,0,3,-12
Jaden McDaniels,MIN,12/29/2020,MIN @ LAC,L,7,3,1,1,0,0,1,2,0,2,2,0,0,0,2,1,5
