GAME_ID,GAME_DATE,SEASON,MATCHUP,WL
0022000018,12/23/2020,2020,MIN vs. DET,W
0022000028,12/26/2020,2020,MIN @ UTA,W
0022000040,12/27/2020,2020,MIN @ LAL,L
0022000054,12/29/2020,2020,MIN @ LAC,L
0022000074,01/01/2021,2020,MIN vs. WAS,L
0022000088,01/03/2021,2020,MIN vs. DEN,L
0022000104,01/05/2021,2020,MIN @ DEN,L
0022000122,01/07/2021,2020,MIN @ POR,L
0022000138,01/09/2021,2020,MIN vs. SAS,L
0022000147,01/10/2021,2020,MIN vs. SAS,W
0022000169,01/13/2021,2020,MIN vs. MEM,L
0022000205,01/18/2021,2020,MIN @ ATL,L
0022000221,01/20/2021,2020,MIN vs. ORL,L
0022000236,01/22/2021,2020,MIN vs. ATL,L
0022000246,01/23/2021,2020,MIN vs. NOP,W
0022000266,01/25/2021,2020,MIN @ GSW,L
0022000283,01/27/2021,2020,MIN @ GSW,L
0022000294,01/29/2021,2020,MIN vs. PHI,L
0022000311,01/31/2021,2020,MIN vs. CLE,W
0022000312,02/01/2021,2020,MIN @ CLE,L
0022000334,02/03/2021,2020,MIN @ SAS,L
0022000348,02/05/2021,2020,MIN @ OKC,W
0022000359,02/06/2021,2020,MIN @ OKC,L
0022000370,02/08/2021,2020,MIN @ DAL,L
0022000387,02/10/2021,2020,MIN vs. LAC,L
0022000395,02/12/2021,2020,MIN @ CHA,L
0022000413,02/14/2021,2020,MIN @ TOR,W
0022000431,02/16/2021,2020,MIN vs. LAL,L
0022000440,02/17/2021,2020,MIN vs. IND,L
0022000454,02/19/2021,2020,MIN vs. TOR,L
0022000469,02/21/2021,2020,MIN @ NYK,L
0022000486,02/23/2021,2020,MIN @ MIL,L
0022000493,02/24/2021,2020,MIN @ CHI,L
0022000517,02/27/2021,2020,MIN @ WAS,L
0022000526,02/28/2021,2020,MIN vs. PHX,L
0022000547,03/03/2021,2020,MIN vs. CHA,L
0022000574,03/11/2021,2020,MIN @ NOP,W
0022000591,03/13/2021,2020,MIN vs. POR,L
0022000599,03/14/2021,2020,MIN vs. POR,W
0022000615,03/16/2021,2020,MIN @ LAL,L
0022000628,03/18/2021,2020,MIN @ PHX,W
0022000638,03/19/2021,2020,MIN @ PHX,L
0022000654,03/22/2021,2020,MIN vs. OKC,L
0022000673,03/24/2021,2020,MIN vs. DAL,L
0022000688,03/26/2021,2020,MIN vs. HOU,W
0022000696,03/27/2021,2020,MIN vs. HOU,L
0022000709,03/29/2021,2020,MIN @ BKN,L
0022000726,03/31/2021,2020,MIN vs. NYK,W
0022000741,04/02/2021,2020,MIN @ MEM,L
0022000750,04/03/2021,2020,MIN @ PHI,L
0022000765,04/05/2021,2020,MIN vs. SAC,W
